"sensanaly","ID","scenario","region","soiltype","initdenres_collapsed","year","crop","ww_yield_mean","ww_yield_sd","ww_yield_se","ww_yield_n","ww_yield_ci_l","ww_yield_ci_u","prod_cost_mean","prod_cost_sd","prod_cost_se","prod_cost_n","prod_cost_ci_l","prod_cost_ci_u"
"lower","BAU_c_m_LD-LR_2","BAU","central","medium","LD-LR",2,"winterwheat",7.11291301980437,0.030638200912391,0.00356161851142419,74,7.10593224752198,7.11989379208676,0,0,0,74,0,0
"lower","BAU_c_m_LD-LR_3","BAU","central","medium","LD-LR",3,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"lower","BAU_c_m_LD-LR_4","BAU","central","medium","LD-LR",4,"winterwheat",7.85067182959553,0.0598069668316765,0.00695241867461231,74,7.83704508899329,7.86429857019777,0,0,0,74,0,0
"lower","BAU_c_m_LD-LR_5","BAU","central","medium","LD-LR",5,"winterwheat",6.73768787492914,0.00856038233726674,0.000995124233451555,74,6.73573743143158,6.7396383184267,0,0,0,74,0,0
"lower","BAU_c_m_LD-LR_6","BAU","central","medium","LD-LR",6,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"upper","BAU_c_m_LD-LR_1","BAU","central","medium","LD-LR",1,"winterwheat",7.817,0.123839600190499,0.0143960611051241,74,7.78878372023396,7.84521627976604,0,0,0,74,0,0
"upper","BAU_c_m_LD-LR_2","BAU","central","medium","LD-LR",2,"winterwheat",6.45920555032562,0.427287777156443,0.0496711951585317,74,6.3618500078149,6.55656109283634,0,0,0,74,0,0
"upper","BAU_c_m_LD-LR_3","BAU","central","medium","LD-LR",3,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"upper","BAU_c_m_LD-LR_4","BAU","central","medium","LD-LR",4,"winterwheat",6.50006981593277,0.64778731795006,0.0753037461198862,74,6.35247447353779,6.64766515832774,0,0,0,74,0,0
"upper","BAU_c_m_LD-LR_5","BAU","central","medium","LD-LR",5,"winterwheat",6.44709641608953,0.182998085621967,0.0212730953481929,74,6.40540114920707,6.48879168297199,0,0,0,74,0,0
"upper","BAU_c_m_LD-LR_6","BAU","central","medium","LD-LR",6,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"lower","BAU_c_l_LD-LR_1","BAU","central","light","LD-LR",1,"winterwheat",6.48,0,0,74,6.48,6.48,0,0,0,74,0,0
"lower","BAU_c_l_LD-LR_2","BAU","central","light","LD-LR",2,"winterwheat",5.80600784042797,0.0241381728940834,0.00280600560252726,74,5.80050806944702,5.81150761140892,0,0,0,74,0,0
"lower","BAU_c_l_LD-LR_3","BAU","central","light","LD-LR",3,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"lower","BAU_c_l_LD-LR_4","BAU","central","light","LD-LR",4,"winterwheat",6.41813203902463,0.0429780440449005,0.00499609613804755,74,6.40833969059405,6.4279243874552,0,0,0,74,0,0
"lower","BAU_c_l_LD-LR_5","BAU","central","light","LD-LR",5,"winterwheat",5.49985999119755,0.00623839831168695,0.000725199073277037,74,5.49843860101392,5.50128138138117,0,0,0,74,0,0
"lower","BAU_c_l_LD-LR_6","BAU","central","light","LD-LR",6,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"upper","BAU_c_l_LD-LR_1","BAU","central","light","LD-LR",1,"winterwheat",6.381,0.0996757757630842,0.011587073572417,74,6.35828933579806,6.40371066420194,0,0,0,74,0,0
"upper","BAU_c_l_LD-LR_2","BAU","central","light","LD-LR",2,"winterwheat",5.28662820741402,0.342835067236608,0.0398537670448342,74,5.20851482400615,5.3647415908219,0,0,0,74,0,0
"upper","BAU_c_l_LD-LR_3","BAU","central","light","LD-LR",3,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"upper","BAU_c_l_LD-LR_4","BAU","central","light","LD-LR",4,"winterwheat",5.43559773639585,0.498121381767669,0.0579054344383001,74,5.32210308489679,5.54909238789492,0,0,0,74,0,0
"upper","BAU_c_l_LD-LR_5","BAU","central","light","LD-LR",5,"winterwheat",5.28721924282422,0.13790907783321,0.0160316046594482,74,5.2557972976917,5.31864118795674,0,0,0,74,0,0
"upper","BAU_c_l_LD-LR_6","BAU","central","light","LD-LR",6,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"lower","BAU_e_h_LD-LR_1","BAU","east","heavy","LD-LR",1,"winterwheat",8.96,0,0,74,8.96,8.96,0,0,0,74,0,0
"lower","BAU_e_h_LD-LR_2","BAU","east","heavy","LD-LR",2,"winterwheat",8.05145038985939,0.010394241773165,0.0012083060626628,74,8.04908210997657,8.05381866974221,0,0,0,74,0,0
"lower","BAU_e_h_LD-LR_3","BAU","east","heavy","LD-LR",3,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"lower","BAU_e_h_LD-LR_4","BAU","east","heavy","LD-LR",4,"winterwheat",8.93702228326071,0.0170886677171125,0.00198651727139206,74,8.93312870940878,8.94091585711264,0,0,0,74,0,0
"lower","BAU_e_h_LD-LR_5","BAU","east","heavy","LD-LR",5,"winterwheat",7.6139717735966,0.00123397973381761,0.000143447230314023,74,7.61369061702519,7.61425293016802,0,0,0,74,0,0
"lower","BAU_e_h_LD-LR_6","BAU","east","heavy","LD-LR",6,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"upper","BAU_e_h_LD-LR_1","BAU","east","heavy","LD-LR",1,"winterwheat",8.822,0.138941990457632,0.016151678313066,74,8.79034271050639,8.85365728949361,0,0,0,74,0,0
