"sensanaly","ID","scenario","region","soiltype","initdenres_collapsed","year","crop","fertcost","seedcost","herbcost","sundry","varcost","wtd_yield_mean","wtd_yield_sd","wtd_yield_se","wtd_yield_n","wtd_yield_ci_l","wtd_yield_ci_u","wtd_gp_mean","wtd_gp_sd","wtd_gp_se","wtd_gp_n","wtd_gp_ci_l","wtd_gp_ci_u","wtd_fuelcost_mean","wtd_fuelcost_sd","wtd_fuelcost_se","wtd_fuelcost_n","wtd_fuelcost_ci_l","wtd_fuelcost_ci_u","wtd_labcost_mean","wtd_labcost_sd","wtd_labcost_se","wtd_labcost_n","wtd_labcost_ci_l","wtd_labcost_ci_u","wtd_opscost_mean","wtd_opscost_sd","wtd_opscost_se","wtd_opscost_n","wtd_opscost_ci_l","wtd_opscost_ci_u","wtd_opp_cost_mean","wtd_opp_cost_sd","wtd_opp_cost_se","wtd_opp_cost_n","wtd_opp_cost_ci_l","wtd_opp_cost_ci_u"
"upper","BAU_n_h_LD-LR_5","BAU","north","heavy","LD-LR",5,"winterwheat",191.76,72,168.66,182,614.42,7.03829585121522,0.287778827695346,0.0334536092000484,74,6.97272677718313,7.10386492524732,719.302869764197,51.918087383239,6.03535506639681,74,707.473573834059,731.132165694335,113.320256436334,0.37449243827392,0.0435338616767587,74,113.234930067447,113.40558280522,60.4457075102967,0.227833718218116,0.0264851317690806,74,60.3937966520293,60.4976183685641,173.76596394663,0.601456229845503,0.0699178665272995,74,173.628924928237,173.903002965024,0,0,0,74,0,0
"upper","BAU_n_h_LD-LR_6","BAU","north","heavy","LD-LR",6,"wosr",202.3,23.49,67.26,192,485.05,3.35,3.7480939023984e-16,4.35707065943922e-17,74,3.35,3.35,546.2,5.48621997533144e-14,6.37760117761455e-15,74,546.2,546.2,203,2.30467337041598e-14,2.67912837386617e-15,74,203,203,111,1.21086772701814e-14,1.40760514096954e-15,74,111,111,314,3.58276035323827e-14,4.1648743124892e-15,74,314,314,0,0,0,74,0,0
"lower","BAU_n_m_LD-LR_1","BAU","north","medium","LD-LR",1,"winterwheat",191.76,72,168.66,182,614.42,7.94,0,0,74,7.94,7.94,896.63,0,0,74,896.63,896.63,105,0,0,74,105,105,56,0,0,74,56,56,161,0,0,74,161,161,0,0,0,74,0,0
"lower","BAU_n_m_LD-LR_2","BAU","north","medium","LD-LR",2,"winterwheat",191.76,72,168.66,182,614.42,7.11291301980437,0.030638200912391,0.00356161851142419,74,7.10593224752198,7.11989379208676,729.72722941823,5.55850337588556,0.646162892396244,74,728.460750149133,730.993708687326,114.96430746473,0.0330509179205949,0.00384209116658493,74,114.956776966043,114.971837963416,62,4.24048418385578e-15,4.92946273503746e-16,74,62,62,176.96430746473,0.0330509179205945,0.00384209116658489,74,176.956776966043,176.971837963416,0,0,0,74,0,0
"lower","BAU_n_m_LD-LR_3","BAU","north","medium","LD-LR",3,"wosr",202.3,23.49,67.26,192,485.05,2.86,2.75034900314589e-16,3.19721577337127e-17,74,2.86,2.86,404.05,3.87934334763796e-14,4.50964504039456e-15,74,404.05,404.05,189,1.33060379080383e-14,1.5467954878452e-15,74,189,189,103,7.43830131839067e-15,8.64684964527953e-16,74,103,103,292,2.20655675936042e-14,2.56507013029863e-15,74,292,292,0,0,0,74,0,0
"lower","BAU_n_m_LD-LR_4","BAU","north","medium","LD-LR",4,"winterwheat",191.76,72,168.66,182,614.42,7.85067182959553,0.0598069668316765,0.00695241867461231,74,7.83704508899329,7.86429857019777,880.414768912113,10.8564161053578,1.26203273746822,74,877.941184746676,882.888353077551,104.913273620967,0.0580650163414345,0.00674992104331304,74,104.900043775722,104.926503466211,56,4.47845044154783e-15,5.2060928906115e-16,74,56,56,160.913273620967,0.0580650163414355,0.00674992104331316,74,160.900043775722,160.926503466211,0,0,0,74,0,0
"lower","BAU_n_m_LD-LR_5","BAU","north","medium","LD-LR",5,"winterwheat",191.76,72,168.66,182,614.42,6.73768787492914,0.00856038233726674,0.000995124233451555,74,6.73573743143158,6.7396383184267,661.218441783265,1.55250429184604,0.180474958066747,74,660.864710865455,661.572172701076,114.987079240353,0.00977770683868339,0.00113663533232624,74,114.984851435102,114.989307045604,62,5.82139158476674e-15,6.76723025932274e-16,74,62,62,176.987079240353,0.00977770683868265,0.00113663533232615,74,176.984851435102,176.989307045604,0,0,0,74,0,0
"lower","BAU_n_m_LD-LR_6","BAU","north","medium","LD-LR",6,"wosr",202.3,23.49,67.26,192,485.05,2.86,3.60105214127497e-16,4.18613808416589e-17,74,2.86,2.86,404.05,4.97866350273055e-14,5.78757876292459e-15,74,404.05,404.05,189,2.05059816010868e-14,2.38377194125054e-15,74,189,189,103,1.23350272753539e-14,1.43391779460049e-15,74,103,103,292,3.39238734708462e-14,3.94357018802997e-15,74,292,292,0,0,0,74,0,0
"upper","BAU_n_m_LD-LR_1","BAU","north","medium","LD-LR",1,"winterwheat",191.76,72,168.66,182,614.42,7.817,0.123839600190499,0.0143960611051241,74,7.78878372023396,7.84521627976604,874.484,22.2971689903966,2.59199324580551,74,869.403693238221,879.564306761779,104.7,0.302047805342676,0.0351123441588388,74,104.631179805449,104.768820194551,56,0,0,74,56,56,160.7,0.302047805342676,0.0351123441588388,74,160.631179805449,160.768820194551,0,0,0,74,0,0
"upper","BAU_n_m_LD-LR_2","BAU","north","medium","LD-LR",2,"winterwheat",191.76,72,168.66,182,614.42,6.45920555032562,0.427287777156443,0.0496711951585317,74,6.3618500078149,6.55656109283634,611.775759313553,77.1473124865785,8.96819291199631,74,594.19810120604,629.353417421066,113.973561108895,0.582538119489788,0.0677186808689526,74,113.840832494392,114.106289723398,61.6377388927877,0.25170973649897,0.0292606625168342,74,61.5803879942547,61.6950897913206,175.611300001682,0.833712404893311,0.0969170984602785,74,175.4213424887,175.801257514665,0,0,0,74,0,0
"upper","BAU_n_m_LD-LR_3","BAU","north","medium","LD-LR",3,"wosr",202.3,23.49,67.26,192,485.05,2.86,2.75034900314589e-16,3.19721577337127e-17,74,2.86,2.86,404.05,3.87934334763796e-14,4.50964504039456e-15,74,404.05,404.05,189,1.33060379080383e-14,1.5467954878452e-15,74,189,189,103,7.43830131839067e-15,8.64684964527953e-16,74,103,103,292,2.20655675936042e-14,2.56507013029863e-15,74,292,292,0,0,0,74,0,0
"upper","BAU_n_m_LD-LR_4","BAU","north","medium","LD-LR",4,"winterwheat",191.76,72,168.66,182,614.42,6.50006981593277,0.64778731795006,0.0753037461198862,74,6.35247447353779,6.64766515832774,636.4210056505,117.091813311559,13.6116468137009,74,609.742177895646,663.099833405354,103.14834809444,0.774652788245541,0.09005155747986,74,102.971847041779,103.3248491471,55.2761328388711,0.35438908445042,0.0411968942639453,74,55.1953869261138,55.3568787516285,158.424480933311,1.12888273454036,0.131229952308983,74,158.167270226785,158.681691639836,0,0,0,74,0,0
"upper","BAU_n_m_LD-LR_5","BAU","north","medium","LD-LR",5,"winterwheat",191.76,72,168.66,182,614.42,6.44709641608953,0.182998085621967,0.0212730953481929,74,6.40540114920707,6.48879168297199,608.83478344933,33.0068979233097,3.83697394584302,74,601.314314515478,616.355252383182,114.494508499952,0.28653129932629,0.0333085869728797,74,114.429223669485,114.559793330419,61.843960696724,0.103554807730559,0.0120380018792477,74,61.8203662130406,61.8675551804073,176.338469196676,0.389913953272297,0.0453265763811724,74,176.249629106969,176.427309286383,0,0,0,74,0,0
"upper","BAU_n_m_LD-LR_6","BAU","north","medium","LD-LR",6,"wosr",202.3,23.49,67.26,192,485.05,2.86,3.60105214127497e-16,4.18613808416589e-17,74,2.86,2.86,404.05,4.97866350273055e-14,5.78757876292459e-15,74,404.05,404.05,189,2.05059816010868e-14,2.38377194125054e-15,74,189,189,103,1.23350272753539e-14,1.43391779460049e-15,74,103,103,292,3.39238734708462e-14,3.94357018802997e-15,74,292,292,0,0,0,74,0,0
"lower","BAU_n_l_LD-LR_1","BAU","north","light","LD-LR",1,"winterwheat",142.06,72,168.66,182,564.72,6.48,0,0,74,6.48,6.48,700.88,0,0,74,700.88,700.88,91,0,0,74,91,91,49,0,0,74,49,49,140,0,0,74,140,140,0,0,0,74,0,0
"lower","BAU_n_l_LD-LR_2","BAU","north","light","LD-LR",2,"winterwheat",142.06,72,168.66,182,564.72,5.80600784042797,0.0241381728940834,0.00280600560252726,74,5.80050806944702,5.81150761140892,569.876430878105,4.40521655317022,0.512096022461224,74,568.872722674081,570.880139082128,96,7.05659222662434e-15,8.2031218392307e-16,74,96,96,52,3.52829611331217e-15,4.10156091961535e-16,74,52,52,148,1.10327837968021e-14,1.28253506514931e-15,74,148,148,0,0,0,74,0,0
"lower","BAU_n_l_LD-LR_3","BAU","north","light","LD-LR",3,"wosr",202.3,23.49,67.26,192,485.05,2.37,1.72387246825033e-16,2.0039610392958e-17,74,2.37,2.37,262.9,1.99590568620574e-14,2.3201932317678e-15,74,262.9,262.9,174,1.15233668520799e-14,1.33956418693309e-15,74,174,174,95,6.4417579027296e-15,7.48839145551653e-16,74,95,95,269,2.10386932109715e-14,2.44569840803106e-15,74,269,269,0,0,0,74,0,0
"lower","BAU_n_l_LD-LR_4","BAU","north","light","LD-LR",4,"winterwheat",142.06,72,168.66,182,564.72,6.41813203902463,0.0429780440449005,0.00499609613804755,74,6.40833969059405,6.4279243874552,689.589097121995,7.84349303819434,0.911787545193677,74,687.801993533415,691.376200710574,91,8.64252513905992e-15,1.00467314019981e-15,74,91,91,49,4.70439481774956e-15,5.46874789282047e-16,74,49,49,140,1.19939004876749e-14,1.39426261102055e-15,74,140,140,0,0,0,74,0,0
"lower","BAU_n_l_LD-LR_5","BAU","north","light","LD-LR",5,"winterwheat",142.06,72,168.66,182,564.72,5.49985999119755,0.00623839831168695,0.000725199073277037,74,5.49843860101392,5.50128138138117,514.004505396415,1.13846400562017,0.132343752448175,74,513.745111641617,514.263899151213,96,1.36143267841501e-14,1.58263334174419e-15,74,96,96,52,6.65301895401913e-15,7.73397743922599e-16,74,52,52,148,2.10386932109715e-14,2.44569840803106e-15,74,148,148,0,0,0,74,0,0
"lower","BAU_n_l_LD-LR_6","BAU","north","light","LD-LR",6,"wosr",202.3,23.49,67.26,192,485.05,2.37,3.24594453524657e-16,3.77333387715818e-17,74,2.37,2.37,262.9,3.52044672402674e-14,4.09243618991522e-15,74,262.9,262.9,174,2.2314903955172e-14,2.59405489358386e-15,74,174,174,95,1.36143267841501e-14,1.58263334174419e-15,74,95,95,269,3.64400855662571e-14,4.23607390270011e-15,74,269,269,0,0,0,74,0,0
"upper","BAU_n_l_LD-LR_1","BAU","north","light","LD-LR",1,"winterwheat",142.06,72,168.66,182,564.72,6.381,0.0996757757630842,0.011587073572417,74,6.35828933579806,6.40371066420194,682.814,18.1893188377361,2.11446536524529,74,678.669647884119,686.958352115881,91,0,0,74,91,91,49,0,0,74,49,49,140,0,0,74,140,140,0,0,0,74,0,0
"upper","BAU_n_l_LD-LR_2","BAU","north","light","LD-LR",2,"winterwheat",142.06,72,168.66,182,564.72,5.28662820741402,0.342835067236608,0.0398537670448342,74,5.20851482400615,5.3647415908219,475.862739762795,62.0119041341807,7.2087374296066,74,461.733614400767,489.991865124824,95.455184985655,0.385705505356137,0.0448373542481425,74,95.3673037713287,95.5430661999814,51.7725534439449,0.170647718881113,0.0198373943769485,74,51.7336721509661,51.8114347369237,147.2277384296,0.55624080592308,0.0646616802615171,74,147.101001536287,147.354475322912,0,0,0,74,0,0
"upper","BAU_n_l_LD-LR_3","BAU","north","light","LD-LR",3,"wosr",202.3,23.49,67.26,192,485.05,2.37,1.72387246825033e-16,2.0039610392958e-17,74,2.37,2.37,262.9,1.99590568620574e-14,2.3201932317678e-15,74,262.9,262.9,174,1.15233668520799e-14,1.33956418693309e-15,74,174,174,95,6.4417579027296e-15,7.48839145551653e-16,74,95,95,269,2.10386932109715e-14,2.44569840803106e-15,74,269,269,0,0,0,74,0,0
"upper","BAU_n_l_LD-LR_4","BAU","north","light","LD-LR",4,"winterwheat",142.06,72,168.66,182,564.72,5.43559773639585,0.498121381767669,0.0579054344383001,74,5.32210308489679,5.54909238789492,511.699780760806,90.1456741146046,10.4792217587926,74,491.160506113573,532.23905540804,90.0074200107621,0.520963680028458,0.0605607976745988,74,89.8887208473199,90.1261191742043,48.570936890928,0.241285811294019,0.0280489058253164,74,48.5159610355104,48.6259127463457,138.57835690169,0.762092318214759,0.088591432497269,74,138.404717693995,138.751996109385,0,0,0,74,0,0
"upper","BAU_n_l_LD-LR_5","BAU","north","light","LD-LR",5,"winterwheat",142.06,72,168.66,182,564.72,5.28721924282422,0.13790907783321,0.0160316046594482,74,5.2557972976917,5.31864118795674,475.498771475578,24.9617572737577,2.90174534197069,74,469.811350605315,481.186192345841,95.7857871164837,0.146210282605852,0.0169966001129968,74,95.7524737802623,95.8191004527052,51.9133949420913,0.0603700934634366,0.00701788081586818,74,51.8996398956922,51.9271499884904,147.699182058575,0.206577614038653,0.0240141598493255,74,147.65211430527,147.74624981188,0,0,0,74,0,0
"upper","BAU_n_l_LD-LR_6","BAU","north","light","LD-LR",6,"wosr",202.3,23.49,67.26,192,485.05,2.37,3.24594453524657e-16,3.77333387715818e-17,74,2.37,2.37,262.9,3.52044672402674e-14,4.09243618991522e-15,74,262.9,262.9,174,2.2314903955172e-14,2.59405489358386e-15,74,174,174,95,1.36143267841501e-14,1.58263334174419e-15,74,95,95,269,3.64400855662571e-14,4.23607390270011e-15,74,269,269,0,0,0,74,0,0
"lower","BAU_c_h_LD-LR_1","BAU","central","heavy","LD-LR",1,"winterwheat",191.76,72,168.66,182,614.42,8.96,0,0,74,8.96,8.96,1063.78,0,0,74,1063.78,1063.78,117,0,0,74,117,117,63,0,0,74,63,63,180,0,0,74,180,180,0,0,0,74,0,0
"lower","BAU_c_h_LD-LR_2","BAU","central","heavy","LD-LR",2,"winterwheat",191.76,72,168.66,182,614.42,8.0093271756271,0.0477429227159213,0.00555000203245451,74,7.99844917164349,8.02020517961071,895.386181376073,8.62229023066169,1.00232087987832,74,893.421632451512,897.350730300635,113.9480789892,0.0453399076124634,0.00527065720081178,74,113.937748501086,113.958409477313,60.9480789891995,0.0453399076124618,0.0052706572008116,74,60.9377485010859,60.9584094773131,174.896157978399,0.0906798152249242,0.0105413144016233,74,174.875497002172,174.916818954626,0,0,0,74,0,0
"lower","BAU_c_h_LD-LR_3","BAU","central","heavy","LD-LR",3,"wosr",202.3,23.49,67.26,192,485.05,3.35,2.79903152596739e-16,3.25380805663219e-17,74,3.35,3.35,546.2,2.97532052735627e-14,3.45873985811181e-15,74,546.2,546.2,203,1.28835158054592e-14,1.49767829110331e-15,74,203,203,111,8.31627369252392e-15,9.66747179903249e-16,74,111,111,314,2.10386932109715e-14,2.44569840803106e-15,74,314,314,0,0,0,74,0,0
"lower","BAU_c_h_LD-LR_4","BAU","central","heavy","LD-LR",4,"winterwheat",191.76,72,168.66,182,614.42,8.79289729688961,0.100947924293585,0.0117349578352191,74,8.76989677953258,8.81589781424664,1033.57011644281,18.2500042278454,2.12151989855174,74,1029.41193744165,1037.72829544397,116.857177176829,0.0862802771740041,0.0100298784916402,74,116.837518614985,116.876835738672,62.8571771768287,0.086280277174004,0.0100298784916402,74,62.8375186149851,62.8768357386723,179.714354353657,0.172560554348008,0.0200597569832805,74,179.67503722997,179.753671477345,0,0,0,74,0,0
"lower","BAU_c_h_LD-LR_5","BAU","central","heavy","LD-LR",5,"winterwheat",191.76,72,168.66,182,614.42,7.59164268847909,0.0167254524556627,0.0019442943548928,74,7.5878318715435,7.59545350541468,793.103682837604,3.01882223810101,0.350930956966574,74,792.415858161949,793.791507513258,129.975507982382,0.0168179511871941,0.00195504711402012,74,129.971676090039,129.979339874726,70.9755079823822,0.0168179511871924,0.00195504711401992,74,70.9716760900387,70.9793398747257,200.951015964764,0.0336359023743846,0.00391009422803983,74,200.943352180077,200.958679749451,0,0,0,74,0,0
"lower","BAU_c_h_LD-LR_6","BAU","central","heavy","LD-LR",6,"wosr",202.3,23.49,67.26,192,485.05,3.35,3.8194925827528e-16,4.44006993944545e-17,74,3.35,3.35,546.2,5.79996745800602e-14,6.74232521784191e-15,74,546.2,546.2,203,2.18133813959982e-14,2.53575408030315e-15,74,203,203,111,1.23350272753539e-14,1.43391779460049e-15,74,111,111,314,3.82186841699678e-14,4.44283179065454e-15,74,314,314,0,0,0,74,0,0
"upper","BAU_c_h_LD-LR_1","BAU","central","heavy","LD-LR",1,"winterwheat",191.76,72,168.66,182,614.42,8.822,0.138941990457632,0.016151678313066,74,8.79034271050639,8.85365728949361,1038.895,25.0548654531752,2.91256894797571,74,1033.18636486197,1044.60363513803,117,0,0,74,117,117,62.7,0.302047805342679,0.0351123441588393,74,62.6311798054487,62.7688201945513,179.7,0.30204780534269,0.0351123441588405,74,179.631179805449,179.768820194551,0,0,0,74,0,0
"upper","BAU_c_h_LD-LR_2","BAU","central","heavy","LD-LR",2,"winterwheat",191.76,72,168.66,182,614.42,7.05302879246349,0.557329146417006,0.0647881972740853,74,6.92604392580629,7.1800136591207,722.77443751268,100.627936870793,11.6977600528918,74,699.846827809012,745.702047216348,112.814155089838,0.721805449008011,0.0839081790796036,74,112.649695058842,112.978615120834,60.1700873679007,0.364441224519444,0.0423654318112914,74,60.0870511215505,60.2531236142508,172.984242457739,1.08487296985885,0.126113921083086,74,172.737059172416,173.231425743062,0,0,0,74,0,0
"upper","BAU_c_h_LD-LR_3","BAU","central","heavy","LD-LR",3,"wosr",202.3,23.49,67.26,192,485.05,3.35,2.79903152596739e-16,3.25380805663219e-17,74,3.35,3.35,546.2,2.97532052735627e-14,3.45873985811181e-15,74,546.2,546.2,203,1.28835158054592e-14,1.49767829110331e-15,74,203,203,111,8.31627369252392e-15,9.66747179903249e-16,74,111,111,314,2.10386932109715e-14,2.44569840803106e-15,74,314,314,0,0,0,74,0,0
"upper","BAU_c_h_LD-LR_4","BAU","central","heavy","LD-LR",4,"winterwheat",191.76,72,168.66,182,614.42,6.72043815595604,0.82391955259029,0.0957787025034853,74,6.53271189904921,6.90816441286287,659.030024076077,148.931667428839,17.3129546727823,74,625.096632917424,692.96341523473,114.509297820974,0.977644422066417,0.113648855596287,74,114.286546064006,114.732049577943,61.5228466214588,0.455323217395141,0.0529302488874238,74,61.4191033336394,61.6265899092781,176.032144442433,1.43284856189247,0.166565261997477,74,175.705676528918,176.358612355948,0,0,0,74,0,0
"upper","BAU_c_h_LD-LR_5","BAU","central","heavy","LD-LR",5,"winterwheat",191.76,72,168.66,182,614.42,7.0420115827846,0.286472883826842,0.0333017963090029,74,6.97674006201895,7.10728310355024,693.973219637028,51.68248761144,6.00796714923659,74,682.197604024524,705.748835249532,129.325082742512,0.372803310771964,0.0433375045931191,74,129.24014123351,129.410024251515,70.4486509492494,0.226809868308196,0.0263661116346244,74,70.3969733704455,70.5003285280532,199.773733691762,0.598722180282618,0.0696000397214056,74,199.637317613908,199.910149769616,0,0,0,74,0,0
"upper","BAU_c_h_LD-LR_6","BAU","central","heavy","LD-LR",6,"wosr",202.3,23.49,67.26,192,485.05,3.35,3.8194925827528e-16,4.44006993944545e-17,74,3.35,3.35,546.2,5.79996745800602e-14,6.74232521784191e-15,74,546.2,546.2,203,2.18133813959982e-14,2.53575408030315e-15,74,203,203,111,1.23350272753539e-14,1.43391779460049e-15,74,111,111,314,3.82186841699678e-14,4.44283179065454e-15,74,314,314,0,0,0,74,0,0
"lower","BAU_c_m_LD-LR_1","BAU","central","medium","LD-LR",1,"winterwheat",191.76,72,168.66,182,614.42,7.94,0,0,74,7.94,7.94,896.63,0,0,74,896.63,896.63,105,0,0,74,105,105,56,0,0,74,56,56,161,0,0,74,161,161,0,0,0,74,0,0
"lower","BAU_c_m_LD-LR_2","BAU","central","medium","LD-LR",2,"winterwheat",191.76,72,168.66,182,614.42,7.11291301980437,0.030638200912391,0.00356161851142419,74,7.10593224752198,7.11989379208676,729.72722941823,5.55850337588556,0.646162892396244,74,728.460750149133,730.993708687326,114.96430746473,0.0330509179205949,0.00384209116658493,74,114.956776966043,114.971837963416,62,4.24048418385578e-15,4.92946273503746e-16,74,62,62,176.96430746473,0.0330509179205945,0.00384209116658489,74,176.956776966043,176.971837963416,0,0,0,74,0,0
"lower","BAU_c_m_LD-LR_3","BAU","central","medium","LD-LR",3,"wosr",202.3,23.49,67.26,192,485.05,2.86,2.75034900314589e-16,3.19721577337127e-17,74,2.86,2.86,404.05,3.87934334763796e-14,4.50964504039456e-15,74,404.05,404.05,189,1.33060379080383e-14,1.5467954878452e-15,74,189,189,103,7.43830131839067e-15,8.64684964527953e-16,74,103,103,292,2.20655675936042e-14,2.56507013029863e-15,74,292,292,0,0,0,74,0,0
"lower","BAU_c_m_LD-LR_4","BAU","central","medium","LD-LR",4,"winterwheat",191.76,72,168.66,182,614.42,7.85067182959553,0.0598069668316765,0.00695241867461231,74,7.83704508899329,7.86429857019777,880.414768912113,10.8564161053578,1.26203273746822,74,877.941184746676,882.888353077551,104.913273620967,0.0580650163414345,0.00674992104331304,74,104.900043775722,104.926503466211,56,4.47845044154783e-15,5.2060928906115e-16,74,56,56,160.913273620967,0.0580650163414355,0.00674992104331316,74,160.900043775722,160.926503466211,0,0,0,74,0,0
"lower","BAU_c_m_LD-LR_5","BAU","central","medium","LD-LR",5,"winterwheat",191.76,72,168.66,182,614.42,6.73768787492914,0.00856038233726674,0.000995124233451555,74,6.73573743143158,6.7396383184267,661.218441783265,1.55250429184604,0.180474958066747,74,660.864710865455,661.572172701076,114.987079240353,0.00977770683868339,0.00113663533232624,74,114.984851435102,114.989307045604,62,5.82139158476674e-15,6.76723025932274e-16,74,62,62,176.987079240353,0.00977770683868265,0.00113663533232615,74,176.984851435102,176.989307045604,0,0,0,74,0,0
