"scenario","year","initdenres_collapsed","gp","gp_ci_l","gp_ci_u","oc","oc_ci_l","oc_ci_u"
"CWW",6,"HD-HR",153.286125925631,80.5478840435159,226.024367807747,-251.097207407702,-277.91173571351,-224.282679101894
"MIT",1,"LD-LR",1018.92111111111,895.445183905988,1142.39703831623,131.824444444444,71.1528266492722,192.496062239617
"MIT",2,"LD-LR",573.031111111111,496.545904358023,649.5163178642,-141.658546409451,-190.812945903473,-92.5041469154298
"MIT",3,"LD-LR",585.140144834087,417.338782951656,752.941506716519,180.756811500754,38.5034052269355,323.010217774572
"MIT",4,"LD-LR",894.997490553487,749.678761632104,1040.31621947487,63.444775000157,-52.6669308816966,179.556480882011
"MIT",5,"LD-LR",406.424444444444,313.411912816836,499.436976072052,-248.284326657475,-364.155905334355,-132.412747980596
"MIT",6,"LD-LR",1008.85471098358,881.90223688685,1135.80718508032,604.47137765025,532.65142280197,676.291332498531
"MIT",1,"LD-HR",857.18,756.607157829517,957.752842170483,-29.9166666666666,-58.2621426502831,-1.57119068305017
"MIT",2,"LD-HR",447.316666666667,341.621785990049,553.011547343284,-220.703656374855,-351.954955091654,-89.4523576580569
"MIT",3,"LD-HR",517.918674701172,332.514937553795,703.322411848549,113.535341367838,-64.58688812668,291.657570862356
"MIT",4,"LD-HR",671.46443177837,515.745054325416,827.183809231324,-33.7048624461057,-189.022006780345,121.612281888133
"MIT",5,"LD-HR",514.615555555556,446.770750089362,582.460361021749,-88.5378173412871,-133.343447375181,-43.7321873073935
"MIT",6,"LD-HR",509.76122454865,331.420879600818,688.101569496482,105.377891215317,-65.4879249566069,276.24370738724
"MIT",1,"HD-HR",280.183888888889,125.401444559393,434.966333218385,-487.992777777778,-643.968410715227,-332.017144840329
"MIT",2,"HD-HR",377.662222222222,263.138695346107,492.185749098337,-225.147388363668,-377.33858574275,-72.9561909845854
"MIT",3,"HD-HR",543.403996378674,393.459082645541,693.348910111808,139.020663045341,-16.7287134493987,294.77003954008
"MIT",4,"HD-HR",571.343303067941,495.176384681723,647.510221454159,-133.379819272541,-193.228927431955,-73.530711113127
"MIT",5,"HD-HR",549.649850856841,469.739649063542,629.56005265014,-56.4697096147579,-134.065429865185,21.1260106356691
"MIT",6,"HD-HR",437.593108564211,301.982077370385,573.204139758037,33.2097752308774,-100.116086553161,166.535637014916
