"scenario","region","soiltype","initdenres_collapsed","gp","gp_ci_l","gp_ci_u","oc","oc_ci_l","oc_ci_u"
"CWW","central","heavy","HD-HR",349.960464730814,250.616215962551,449.304713499078,-370.160786609291,-465.530414178231,-274.791159040352
"CWW","central","medium","HD-HR",249.182345261498,170.394728176459,327.969962346537,-342.90895181802,-450.401625603776,-235.416278032263
"CWW","central","light","HD-HR",111.784300105811,46.3363499999642,177.232250211657,-325.928258275647,-423.982717972951,-227.873798578343
"CWW","east","heavy","HD-HR",441.962182125924,381.883694331145,502.040669920703,-328.66162128766,-464.383558584699,-192.93968399062
"CWW","east","medium","HD-HR",249.182345261498,170.394728176459,327.969962346537,-342.90895181802,-450.401625603776,-235.416278032263
"CWW","east","light","HD-HR",111.784300105811,46.3363499999642,177.232250211657,-325.928258275647,-423.982717972951,-227.873798578343
"MIT","north","heavy","LD-LR",882.314961605575,591.057311353873,1173.57261185728,110.101965412286,-191.016119433662,411.220050258235
"MIT","north","medium","LD-LR",724.037625922228,435.009548081105,1013.06570376335,94.87452198202,-202.422111544979,392.171155509019
"MIT","north","light","LD-LR",629.912142747234,445.716304094651,814.107981399817,156.366854406055,-35.08243795397,347.816146766081
"MIT","central","heavy","LD-LR",882.314961605575,591.057311353873,1173.57261185728,114.340418661533,-181.185171836358,409.866009159424
"MIT","central","medium","LD-LR",724.037625922228,435.009548081105,1013.06570376335,94.87452198202,-202.422111544979,392.171155509019
"MIT","central","light","LD-LR",629.913957640124,445.71675433362,814.111160946628,156.368669298945,-35.0807580162437,347.818096614134
"MIT","east","heavy","LD-LR",865.321042661853,708.345605611694,1022.29647971201,67.7608304049533,-218.596690030386,354.118350840293
"MIT","east","medium","LD-LR",702.517541190976,562.435053095306,842.600029286646,73.3544372507685,-174.734496545878,321.443371047415
"MIT","east","light","LD-LR",538.739408857872,414.847554433903,662.631263281842,65.1941205166938,-160.38800389213,290.776244925517
"MIT","north","heavy","LD-HR",620.928804812937,449.274051782211,792.583557843662,-95.7773077305717,-159.476277607677,-32.0783378534668
"MIT","north","medium","LD-HR",476.647449107239,281.964020648744,671.330877565735,-109.800569599611,-185.721108495405,-33.8800307038171
"MIT","north","light","LD-HR",476.654401840408,423.602259831218,529.706543849598,37.3218434589495,-59.1767849292401,133.820471847139
"MIT","central","heavy","LD-HR",703.544825287093,521.452697178397,885.636953395789,-13.316633570859,-122.037038029256,95.4037708875377
"MIT","central","medium","LD-HR",589.539702445245,413.304344431747,765.775060458744,3.09168373839497,-71.8872360604305,78.0706035372204
"MIT","central","light","LD-HR",466.172301710286,293.075656498956,639.268946921615,26.8397433288275,-38.0381682273928,91.7176548850477
"MIT","east","heavy","LD-HR",731.832635846147,494.407524214913,969.25774747738,-37.1816051271347,-379.025639934534,304.662429680265
"MIT","east","medium","LD-HR",567.344830799378,338.153136989364,796.536524609392,-19.1031879074725,-317.280469540432,279.074093725487
"MIT","east","light","LD-HR",494.63514561213,353.947904948538,635.322386275722,55.3025872306719,-169.715876562106,280.32105102345
"MIT","north","heavy","HD-HR",526.196476068602,340.577727027879,711.815225109325,-193.771746269406,-491.11023657639,103.566744037578
"MIT","north","medium","HD-HR",461.410588522614,311.880041982055,610.941135063173,-130.680708556903,-397.968740874587,136.60732376078
"MIT","north","light","HD-HR",370.379628441632,256.589113919485,484.170142963779,-67.332929939826,-289.375108342135,154.709248462483
"MIT","central","heavy","HD-HR",601.093266450267,472.152877409669,730.033655490865,-119.027984889838,-206.228643709697,-31.8273260699783
"MIT","central","medium","HD-HR",483.226594443432,333.372042224058,633.081146662807,-108.864702636085,-201.58572507886,-16.1436801933097
"MIT","central","light","HD-HR",454.921122093238,381.161013008891,528.681231177585,17.2085637117801,-74.1538193524487,108.570946776009
"MIT","east","heavy","HD-HR",485.952167841646,244.295866268865,727.608469414426,-284.671635571938,-595.788562721254,26.445291577378
"MIT","east","medium","HD-HR",363.288424759451,120.863816644986,605.713032873916,-228.802872320066,-522.456369420736,64.8506247806034
"MIT","east","light","HD-HR",408.811761937585,233.844733577034,583.778790298136,-28.900796443873,-287.179217985079,229.377625097333
