"ID","scenario","region","soiltype","initdenres_collapsed","year","crop","ww_yield_mean","ww_yield_sd","ww_yield_se","ww_yield_n","ww_yield_ci_l","ww_yield_ci_u","prod_cost_mean","prod_cost_sd","prod_cost_se","prod_cost_n","prod_cost_ci_l","prod_cost_ci_u"
"MIT_n_h_LD-HR_3","MIT","north","heavy","LD-HR",3,"springbeans",0,0,0,74,0,0,0,0,0,74,0,0
"MIT_n_h_LD-HR_4","MIT","north","heavy","LD-HR",4,"winterwheat",8.30660950232187,0.437968769288934,0.0509128352733751,74,8.20682034518605,8.40639865945768,0.787642803920897,0.409637117065146,0.0476193476006486,74,0.694308882623626,0.880976725218168
"MIT_n_h_LD-HR_5","MIT","north","heavy","LD-HR",5,"winterbarley",0,0,0,74,0,0,-7.02620316561953,0.153305252654263,0.0178213736280827,74,-7.06113305793058,-6.99127327330849
"MIT_n_h_LD-HR_6","MIT","north","heavy","LD-HR",6,"springbeans",0,0,0,74,0,0,0,0,0,74,0,0
"MIT_n_m_LD-HR_1","MIT","north","medium","LD-HR",1,"winterwheat",7.94,0,0,74,7.94,7.94,0,0,0,74,0,0
"MIT_n_m_LD-HR_2","MIT","north","medium","LD-HR",2,"winterbarley",0,0,0,74,0,0,-6.74815065335169,0.204907881540862,0.0238200573891234,74,-6.79483796583437,-6.70146334086901
"MIT_n_m_LD-HR_3","MIT","north","medium","LD-HR",3,"springbeans",0,0,0,74,0,0,0,0,0,74,0,0
"MIT_n_m_LD-HR_4","MIT","north","medium","LD-HR",4,"winterwheat",7.52275622093557,0.327374947531843,0.0380565646344585,74,7.44816535425203,7.59734708761911,0.633359624749248,0.304901609978375,0.035444092209175,74,0.563889204019265,0.702830045479231
"MIT_n_m_LD-HR_5","MIT","north","medium","LD-HR",5,"winterbarley",0,0,0,74,0,0,-6.39047570310301,0.108418228071209,0.0126033630100669,74,-6.41517829460275,-6.36577311160328
"MIT_n_m_LD-HR_6","MIT","north","medium","LD-HR",6,"springbeans",0,0,0,74,0,0,0,0,0,74,0,0
"MIT_n_l_LD-HR_1","MIT","north","light","LD-HR",1,"winterwheat",6.48,0,0,74,6.48,6.48,0,0,0,74,0,0
"MIT_n_l_LD-HR_2","MIT","north","light","LD-HR",2,"winterbarley",0,0,0,74,0,0,-5.51603049642376,0.164513390934668,0.019124293237894,74,-5.55351411117003,-5.47854688167749
"MIT_n_l_LD-HR_3","MIT","north","light","LD-HR",3,"driedpeas",0,0,0,74,0,0,0,0,0,74,0,0
"MIT_n_l_LD-HR_4","MIT","north","light","LD-HR",4,"winterwheat",6.22822588742231,0.218707308030987,0.0254242081346194,74,6.17839443947846,6.27805733536616,0.555294980388946,0.21651583824581,0.0251694549467142,74,0.505962848693386,0.604627112084506
"MIT_n_l_LD-HR_5","MIT","north","light","LD-HR",5,"winterbarley",0,0,0,74,0,0,-5.2333556969422,0.0870739450332445,0.0101221405062238,74,-5.2531950923344,-5.21351630155
"MIT_n_l_LD-HR_6","MIT","north","light","LD-HR",6,"driedpeas",0,0,0,74,0,0,0,0,0,74,0,0
"MIT_c_h_LD-HR_1","MIT","central","heavy","LD-HR",1,"winterwheat",8.96,0,0,74,8.96,8.96,0,0,0,74,0,0
