"scenario","initdenres_collapsed","soiltype","region","ww_mean","ww_ci_l","ww_ci_u","pc_mean","pc_ci_l","pc_ci_u"
"BAU","HD-HR","medium","north",4.51799510397258,1.70580093238282,7.33018927556234,0,0,0
"BAU","HD-HR","medium","central",4.51799510397258,1.70580093238282,7.33018927556234,0,0,0
"BAU","HD-HR","medium","east",4.51799510397258,1.70580093238282,7.33018927556234,0,0,0
"BAU","HD-HR","light","north",3.66609287738998,1.38295248307988,5.94923327170008,0,0,0
"BAU","HD-HR","light","central",3.66609287738998,1.38295248307988,5.94923327170008,0,0,0
"BAU","HD-HR","light","east",3.66609287738998,1.38295248307988,5.94923327170008,0,0,0
"MIT","LD-LR","heavy","north",4.79142161616669,0.591473993747026,8.99136923858635,-0.668180534673407,-5.84252360143017,4.50616253208335
"MIT","LD-LR","heavy","central",4.79142161616669,0.591473993747026,8.99136923858635,-0.668551061703733,-5.84314121120955,4.50603908780208
"MIT","LD-LR","heavy","east",5.73315794768001,2.15632200738028,9.30999388797974,0.16122108462109,-5.85059497032505,6.17303713956723
"MIT","LD-LR","medium","north",4.25812900076215,0.525690713757949,7.99056728776635,-0.621453335452829,-5.22394971699772,3.98104304609206
"MIT","LD-LR","medium","central",4.25812900076215,0.525690713757949,7.99056728776635,-0.621453335452829,-5.22394971699772,3.98104304609206
"MIT","LD-LR","medium","east",5.03376779769453,1.8948356328146,8.17269996257446,0.154185461479553,-5.09781030967056,5.40618123262967
"MIT","LD-LR","light","north",3.47608984408361,0.429148106536072,6.52303158163116,-0.513319805827293,-4.26980619841233,3.24316658675775
"MIT","LD-LR","light","central",3.47609964227468,0.429149361373546,6.52304992317581,-0.513310007636229,-4.26979946652977,3.24317945125731
"MIT","LD-LR","light","east",4.10834334870154,1.546477415459,6.67020928194408,0.11893369879063,-4.16986433479283,4.40773173237409
"MIT","LD-HR","heavy","north",2.87776825038698,-0.693379374649293,6.44891587542325,-2.2881668791913,-5.38058833575974,0.804254577377139
"MIT","LD-HR","heavy","central",2.93524742085417,-0.704160323057416,6.57465516476575,-2.23153357144719,-5.37042184962746,0.907354706733089
"MIT","LD-HR","heavy","east",4.48979286490102,0.55429203038923,8.42529369941282,-0.955289646408172,-7.58299312136085,5.67241382854451
"MIT","LD-HR","medium","north",2.5771260368226,-0.6192565918656,5.77350866551079,-2.08421112195091,-4.87249615867271,0.704073914770893
"MIT","LD-HR","medium","central",2.61822233939739,-0.627646982768121,5.8640916615629,-2.04311481937611,-4.86315679506278,0.776927156310551
"MIT","LD-HR","medium","east",3.93217474517766,0.485062807319427,7.37928668303589,-0.729162413595845,-6.41582719144465,4.95750236425295
"MIT","LD-HR","light","north",2.11803764790372,-0.508281825995878,4.74435712180331,-1.69901520216284,-3.98483352221912,0.586803117893443
"MIT","LD-HR","light","central",2.13686971895742,-0.512254189992748,4.78599362790759,-1.68018313110913,-3.98052295125161,0.620156689033349
"MIT","LD-HR","light","east",3.28606316607644,0.405324959897055,6.16680137225582,-0.530989683990117,-5.24379785535737,4.18181848737714
"MIT","HD-HR","heavy","north",2.5144964226212,-0.608293502327683,5.63728634757008,-2.46880668004068,-7.44978717270836,2.51217381262699
"MIT","HD-HR","heavy","central",2.77908240262003,-0.666047858563508,6.22421266380357,-2.20506609199085,-5.23224367369518,0.822111489713477
"MIT","HD-HR","heavy","east",2.79506822519821,-0.678904394312033,6.26904084470846,-2.47391781396005,-7.9765998515708,3.0287642236507
"MIT","HD-HR","medium","north",2.29175612486751,-0.555338480960128,5.13885073069514,-2.22623897910507,-6.73684451971483,2.28436656150469
