"ID","scenario","region","soiltype","initdenres_collapsed","year","crop","ww_yield_mean","ww_yield_sd","ww_yield_se","ww_yield_n","ww_yield_ci_l","ww_yield_ci_u","prod_cost_mean","prod_cost_sd","prod_cost_se","prod_cost_n","prod_cost_ci_l","prod_cost_ci_u"
"BAU_e_h_LD-HR_1","BAU","east","heavy","LD-HR",1,"winterwheat",8.366,0,0,74,8.366,8.366,0,0,0,74,0,0
"BAU_e_h_LD-HR_2","BAU","east","heavy","LD-HR",2,"winterwheat",7.57245385228411,0.120302134270284,0.0139848390447624,74,7.54504356775638,7.59986413681185,0,0,0,74,0,0
"BAU_e_h_LD-HR_3","BAU","east","heavy","LD-HR",3,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"BAU_e_h_LD-HR_4","BAU","east","heavy","LD-HR",4,"winterwheat",8.32444416524187,0.204638086810134,0.0237886943887308,74,8.27781832423996,8.37107000624378,0,0,0,74,0,0
"BAU_e_h_LD-HR_5","BAU","east","heavy","LD-HR",5,"winterwheat",7.48907234502274,0.0447164573355337,0.00519818257824452,74,7.47888390716938,7.4992607828761,0,0,0,74,0,0
"BAU_e_h_LD-HR_6","BAU","east","heavy","LD-HR",6,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"BAU_e_m_LD-HR_1","BAU","east","medium","LD-HR",1,"winterwheat",7.416,0,0,74,7.416,7.416,0,0,0,74,0,0
"BAU_e_m_LD-HR_2","BAU","east","medium","LD-HR",2,"winterwheat",6.4475118158302,0.174435504018019,0.0202777154551827,74,6.40776749353804,6.48725613812236,0,0,0,74,0,0
"BAU_e_m_LD-HR_3","BAU","east","medium","LD-HR",3,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"BAU_e_m_LD-HR_4","BAU","east","medium","LD-HR",4,"winterwheat",6.85861872358727,0.214002540134309,0.0248772899757928,74,6.80985923523472,6.90737821193983,0,0,0,74,0,0
"BAU_e_m_LD-HR_5","BAU","east","medium","LD-HR",5,"winterwheat",6.38421791018097,0.107808118073994,0.0125324391635167,74,6.35965432942048,6.40878149094147,0,0,0,74,0,0
"BAU_e_m_LD-HR_6","BAU","east","medium","LD-HR",6,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"BAU_e_l_LD-HR_1","BAU","east","light","LD-HR",1,"winterwheat",6.054,0,0,74,6.054,6.054,0,0,0,74,0,0
"BAU_e_l_LD-HR_2","BAU","east","light","LD-HR",2,"winterwheat",5.27285314066293,0.141287435496732,0.0164243307606648,74,5.24066145237203,5.30504482895383,0,0,0,74,0,0
"BAU_e_l_LD-HR_3","BAU","east","light","LD-HR",3,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"BAU_e_l_LD-HR_4","BAU","east","light","LD-HR",4,"winterwheat",5.64330736274276,0.17989348363668,0.020912192698164,74,5.60231946505436,5.68429526043116,0,0,0,74,0,0
"BAU_e_l_LD-HR_5","BAU","east","light","LD-HR",5,"winterwheat",5.22739235085457,0.0865031651746144,0.0100557886954155,74,5.20768300501156,5.24710169669758,0,0,0,74,0,0
"BAU_e_l_LD-HR_6","BAU","east","light","LD-HR",6,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"BAU_n_h_HD-HR_1","BAU","north","heavy","HD-HR",1,"winterwheat",8.366,0,0,74,8.366,8.366,0,0,0,74,0,0
"BAU_n_h_HD-HR_2","BAU","north","heavy","HD-HR",2,"winterwheat",7.18066376089403,0.201119856720468,0.0233797084482497,74,7.13483953233546,7.2264879894526,0,0,0,74,0,0
"BAU_n_h_HD-HR_3","BAU","north","heavy","HD-HR",3,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"BAU_n_h_HD-HR_4","BAU","north","heavy","HD-HR",4,"winterwheat",7.55699552707804,0.252095627427242,0.0293055214260585,74,7.49955670508296,7.61443434907311,0,0,0,74,0,0
"BAU_n_h_HD-HR_5","BAU","north","heavy","HD-HR",5,"winterwheat",7.07686495146325,0.149284206245093,0.0173539364777374,74,7.04285123596689,7.11087866695962,0,0,0,74,0,0
"BAU_n_h_HD-HR_6","BAU","north","heavy","HD-HR",6,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"BAU_n_m_HD-HR_1","BAU","north","medium","HD-HR",1,"winterwheat",7.416,0,0,74,7.416,7.416,0,0,0,74,0,0
"BAU_n_m_HD-HR_2","BAU","north","medium","HD-HR",2,"winterwheat",6.51112826577448,0.171079506674569,0.0198875886883761,74,6.47214859194526,6.55010793960369,0,0,0,74,0,0
"BAU_n_m_HD-HR_3","BAU","north","medium","HD-HR",3,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"BAU_n_m_HD-HR_4","BAU","north","medium","HD-HR",4,"winterwheat",6.96512802467965,0.212915381692819,0.0247509103740292,74,6.91661624034655,7.01363980901274,0,0,0,74,0,0
"BAU_n_m_HD-HR_5","BAU","north","medium","HD-HR",5,"winterwheat",6.45568377236979,0.0991471832370353,0.0115256259394061,74,6.43309354552855,6.47827399921102,0,0,0,74,0,0
"BAU_n_m_HD-HR_6","BAU","north","medium","HD-HR",6,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"BAU_n_l_HD-HR_1","BAU","north","light","HD-HR",1,"winterwheat",6.054,0,0,74,6.054,6.054,0,0,0,74,0,0
"BAU_n_l_HD-HR_2","BAU","north","light","HD-HR",2,"winterwheat",5.27285314066293,0.141287435496732,0.0164243307606648,74,5.24066145237203,5.30504482895383,0,0,0,74,0,0
"BAU_n_l_HD-HR_3","BAU","north","light","HD-HR",3,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"BAU_n_l_HD-HR_4","BAU","north","light","HD-HR",4,"winterwheat",5.64330736274276,0.17989348363668,0.020912192698164,74,5.60231946505436,5.68429526043116,0,0,0,74,0,0
"BAU_n_l_HD-HR_5","BAU","north","light","HD-HR",5,"winterwheat",5.22739235085457,0.0865031651746144,0.0100557886954155,74,5.20768300501156,5.24710169669758,0,0,0,74,0,0
"BAU_n_l_HD-HR_6","BAU","north","light","HD-HR",6,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"BAU_c_h_HD-HR_1","BAU","central","heavy","HD-HR",1,"winterwheat",8.366,0,0,74,8.366,8.366,0,0,0,74,0,0
"BAU_c_h_HD-HR_2","BAU","central","heavy","HD-HR",2,"winterwheat",7.18272987102546,0.200484928960602,0.0233058995953923,74,7.13705030781849,7.22840943423243,0,0,0,74,0,0
"BAU_c_h_HD-HR_3","BAU","central","heavy","HD-HR",3,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"BAU_c_h_HD-HR_4","BAU","central","heavy","HD-HR",4,"winterwheat",7.55754262035671,0.251828468733258,0.029274464858713,74,7.50016466923363,7.61492057147979,0,0,0,74,0,0
"BAU_c_h_HD-HR_5","BAU","central","heavy","HD-HR",5,"winterwheat",7.07932409974715,0.148642967195432,0.017279393952344,74,7.04545648760055,7.11319171189374,0,0,0,74,0,0
"BAU_c_h_HD-HR_6","BAU","central","heavy","HD-HR",6,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"BAU_c_m_HD-HR_1","BAU","central","medium","HD-HR",1,"winterwheat",7.416,0,0,74,7.416,7.416,0,0,0,74,0,0
"BAU_c_m_HD-HR_2","BAU","central","medium","HD-HR",2,"winterwheat",6.51112826577448,0.171079506674569,0.0198875886883761,74,6.47214859194526,6.55010793960369,0,0,0,74,0,0
"BAU_c_m_HD-HR_3","BAU","central","medium","HD-HR",3,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"BAU_c_m_HD-HR_4","BAU","central","medium","HD-HR",4,"winterwheat",6.96512802467965,0.212915381692819,0.0247509103740292,74,6.91661624034655,7.01363980901274,0,0,0,74,0,0
"BAU_c_m_HD-HR_5","BAU","central","medium","HD-HR",5,"winterwheat",6.45568377236979,0.0991471832370353,0.0115256259394061,74,6.43309354552855,6.47827399921102,0,0,0,74,0,0
"BAU_c_m_HD-HR_6","BAU","central","medium","HD-HR",6,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"BAU_c_l_HD-HR_1","BAU","central","light","HD-HR",1,"winterwheat",6.054,0,0,74,6.054,6.054,0,0,0,74,0,0
"BAU_c_l_HD-HR_2","BAU","central","light","HD-HR",2,"winterwheat",5.27285314066293,0.141287435496732,0.0164243307606648,74,5.24066145237203,5.30504482895383,0,0,0,74,0,0
"BAU_c_l_HD-HR_3","BAU","central","light","HD-HR",3,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"BAU_c_l_HD-HR_4","BAU","central","light","HD-HR",4,"winterwheat",5.64330736274276,0.17989348363668,0.020912192698164,74,5.60231946505436,5.68429526043116,0,0,0,74,0,0
"BAU_c_l_HD-HR_5","BAU","central","light","HD-HR",5,"winterwheat",5.22739235085457,0.0865031651746144,0.0100557886954155,74,5.20768300501156,5.24710169669758,0,0,0,74,0,0
"BAU_c_l_HD-HR_6","BAU","central","light","HD-HR",6,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"BAU_e_h_HD-HR_1","BAU","east","heavy","HD-HR",1,"winterwheat",8.366,0,0,74,8.366,8.366,0,0,0,74,0,0
"BAU_e_h_HD-HR_2","BAU","east","heavy","HD-HR",2,"winterwheat",7.60646912880143,0.114489533504556,0.0133091379307861,74,7.58038321845708,7.63255503914577,0,0,0,74,0,0
"BAU_e_h_HD-HR_3","BAU","east","heavy","HD-HR",3,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"BAU_e_h_HD-HR_4","BAU","east","heavy","HD-HR",4,"winterwheat",8.37795344297045,0.191696038666528,0.0222842118515278,74,8.33427638774146,8.42163049819945,0,0,0,74,0,0
"BAU_e_h_HD-HR_5","BAU","east","heavy","HD-HR",5,"winterwheat",7.50856763099754,0.0400475241469888,0.00465543011962354,74,7.49944298796308,7.517692274032,0,0,0,74,0,0
"BAU_e_h_HD-HR_6","BAU","east","heavy","HD-HR",6,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"BAU_e_m_HD-HR_1","BAU","east","medium","HD-HR",1,"winterwheat",7.416,0,0,74,7.416,7.416,0,0,0,74,0,0
"BAU_e_m_HD-HR_2","BAU","east","medium","HD-HR",2,"winterwheat",6.51112826577448,0.171079506674569,0.0198875886883761,74,6.47214859194526,6.55010793960369,0,0,0,74,0,0
"BAU_e_m_HD-HR_3","BAU","east","medium","HD-HR",3,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"BAU_e_m_HD-HR_4","BAU","east","medium","HD-HR",4,"winterwheat",6.96512802467965,0.212915381692819,0.0247509103740292,74,6.91661624034655,7.01363980901274,0,0,0,74,0,0
"BAU_e_m_HD-HR_5","BAU","east","medium","HD-HR",5,"winterwheat",6.45568377236979,0.0991471832370353,0.0115256259394061,74,6.43309354552855,6.47827399921102,0,0,0,74,0,0
"BAU_e_m_HD-HR_6","BAU","east","medium","HD-HR",6,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"BAU_e_l_HD-HR_1","BAU","east","light","HD-HR",1,"winterwheat",6.054,0,0,74,6.054,6.054,0,0,0,74,0,0
"BAU_e_l_HD-HR_2","BAU","east","light","HD-HR",2,"winterwheat",5.27285314066293,0.141287435496732,0.0164243307606648,74,5.24066145237203,5.30504482895383,0,0,0,74,0,0
"BAU_e_l_HD-HR_3","BAU","east","light","HD-HR",3,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"BAU_e_l_HD-HR_4","BAU","east","light","HD-HR",4,"winterwheat",5.64330736274276,0.17989348363668,0.020912192698164,74,5.60231946505436,5.68429526043116,0,0,0,74,0,0
"BAU_e_l_HD-HR_5","BAU","east","light","HD-HR",5,"winterwheat",5.22739235085457,0.0865031651746144,0.0100557886954155,74,5.20768300501156,5.24710169669758,0,0,0,74,0,0
"BAU_e_l_HD-HR_6","BAU","east","light","HD-HR",6,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"CWW_n_h_LD-LR_1","CWW","north","heavy","LD-LR",1,"winterwheat",8.366,0,0,74,8.366,8.366,0,0,0,74,0,0
"CWW_n_h_LD-LR_2","CWW","north","heavy","LD-LR",2,"winterwheat",7.76758619846846,0.119967870317272,0.0139459816495076,74,7.74025207443543,7.7949203225015,0.167410661377708,0.110867169799454,0.0128880467033966,74,0.14215008983905,0.192671232916365
"CWW_n_h_LD-LR_3","CWW","north","heavy","LD-LR",3,"winterwheat",7.68409215801501,0.199006536309624,0.0231340399405799,74,7.63874943973148,7.72943487629855,7.68409215801501,0.199006536309624,0.0231340399405799,74,7.63874943973148,7.72943487629855
"CWW_n_h_LD-LR_4","CWW","north","heavy","LD-LR",4,"winterwheat",7.31931596569028,0.242764201071996,0.0282207651461493,74,7.26400326600382,7.37462866537673,-1.06776262181849,0.20486365185612,0.0238149157927098,74,-1.1144398567722,-1.02108538686478
