"sensanaly","ID","scenario","region","soiltype","initdenres_collapsed","ww_mean","ww_ci_l","ww_ci_u","pc_mean","pc_ci_l","pc_ci_u"
"lower","BAU_lower","BAU","central","medium","HD-HR",4.79318561698826,1.80601387539936,7.78035735857716,0,0,0
"upper","BAU_upper","BAU","central","medium","HD-HR",3.31949236551234,1.23068975995481,5.40829497106986,0,0,0
"lower","BAU_lower","BAU","central","light","LD-LR",4.03399997844169,1.51628172910046,6.55171822778293,0,0,0
"upper","BAU_upper","BAU","central","light","LD-LR",3.73174086443901,1.39583883781544,6.06764289106259,0,0,0
"lower","BAU_lower","BAU","central","light","LD-HR",3.96645701343506,1.49128182780582,6.4416321990643,0,0,0
"upper","BAU_upper","BAU","central","light","LD-HR",3.12230369420125,1.05112558974024,5.19348179866226,0,0,0
"lower","BAU_lower","BAU","central","light","HD-HR",3.9008327158475,1.46941619172342,6.33224923997158,0,0,0
"upper","BAU_upper","BAU","central","light","HD-HR",2.64534358764592,0.976059362953997,4.31462781233784,0,0,0
"lower","BAU_lower","BAU","east","heavy","LD-LR",5.59374074111945,2.10202812754031,9.08545335469859,0,0,0
"upper","BAU_upper","BAU","east","heavy","LD-LR",5.41665937050488,2.03917974305959,8.79413899795018,0,0,0
"lower","BAU_lower","BAU","east","heavy","LD-HR",5.55444598797783,2.08864325665487,9.02024871930079,0,0,0
"upper","BAU_upper","BAU","east","heavy","LD-HR",4.87669811659299,1.78745132886301,7.96594490432297,0,0,0
"lower","BAU_lower","BAU","east","heavy","HD-HR",5.48474547964285,2.06623580623087,8.90325515305482,0,0,0
"upper","BAU_upper","BAU","east","heavy","HD-HR",4.28008971758147,1.61266517901586,6.94751425614708,0,0,0
"lower","BAU_lower","BAU","east","medium","LD-LR",4.94021212072151,1.85707868913124,8.02334555231177,0,0,0
"upper","BAU_upper","BAU","east","medium","LD-LR",4.53722863039132,1.6941221602788,7.38033510050384,0,0,0
"lower","BAU_lower","BAU","east","medium","LD-HR",4.85323136614309,1.82469744827836,7.88176528400782,0,0,0
"upper","BAU_upper","BAU","east","medium","LD-HR",3.78347907651633,1.25786824387968,6.30908990915297,0,0,0
"lower","BAU_lower","BAU","east","medium","HD-HR",4.79318561698826,1.80601387539936,7.78035735857716,0,0,0
"upper","BAU_upper","BAU","east","medium","HD-HR",3.31949236551234,1.23068975995481,5.40829497106986,0,0,0
