"scenario","year","initDR3","mds","mds_95ci_l","mds_95ci_u","hvh","hvh_95ci_l","hvh_95ci_u","pdec","pdec_95ci_l","pdec_95ci_u","pinc","pinc_95ci_l","pinc_95ci_u","mds_diff","mds_diff_95ci_l","mds_diff_95ci_u","hvh_diff","hvh_diff_95ci_l","hvh_diff_95ci_u"
"MIT",6,"LD-HR",2.57004141601102,2.38686138147913,2.75322145054291,0.171093547575186,0.121361974956318,0.220825120194054,0.595957697476566,0.503009493367879,0.688905901585252,0.171093547575186,0.121361974956318,0.220825120194054,-1.93078823369285,-2.08140665276518,-1.78016981462052,-0.708164436793706,-0.7485507899225,-0.667778083664912
"MIT",1,"HD-HR",3.3,3.3,3.3,0.5,0.5,0.5,0.3,0.3,0.3,0.5,0.5,0.5,0,0,0,0,0,0
"MIT",2,"HD-HR",2.62029203009675,2.37588399364529,2.86470006654821,0.210917896945212,0.134420335147532,0.287415458742892,0.585612473650944,0.483469878833545,0.687755068468342,0.210917896945212,0.134420335147532,0.287415458742892,-1.14121717623121,-1.4287833283102,-0.853651024152226,-0.407925069232998,-0.499923886792946,-0.315926251673051
"MIT",3,"HD-HR",2.60776842870402,2.29886075919379,2.91667609821425,0.214885536099227,0.114618101644937,0.315152970553518,0.621117971077397,0.515632906056524,0.72660303609827,0.214885536099227,0.114618101644937,0.315152970553518,-1.99803978803493,-2.28697862146666,-1.70910095460321,-0.692842679545441,-0.785248562221483,-0.600436796869399
"MIT",4,"HD-HR",2.99380471073132,2.58694813860986,3.40066128285278,0.328589472739946,0.192910073973855,0.464268871506037,0.43651761323222,0.261758957224046,0.611276269240394,0.328589472739946,0.192910073973855,0.464268871506037,-1.08640353096651,-1.4011852037854,-0.771621858147623,-0.428280088617759,-0.532928952282966,-0.323631224952551
"MIT",5,"HD-HR",2.69754488901828,2.08177592701544,3.31331385102112,0.26904661291412,0.0792003207690823,0.458892905059158,0.568099842199903,0.329301902659812,0.806897781739995,0.26904661291412,0.0792003207690823,0.458892905059158,-0.51461957767036,-1.1366156045404,0.107376449199681,-0.120138283278546,-0.307741615374115,0.0674650488170226
"MIT",6,"HD-HR",3.09721818355881,2.62170418152464,3.57273218559297,0.380151085514927,0.220513607403781,0.539788563626072,0.394294215927476,0.197954926242072,0.590633505612881,0.380151085514927,0.220513607403781,0.539788563626072,-1.38964060615192,-1.76824199361257,-1.01103921869126,-0.495498735004896,-0.62768504173036,-0.363312428279431
"CWW",1,"LD-LR",2.1,2.1,2.1,0,0,0,0.7,0.7,0.7,0,0,0,0,0,0,0,0,0
"CWW",2,"LD-LR",2.3606918884808,2.28460129352985,2.43678248343176,0.092619197964943,0.0753025302206914,0.109935865709195,0.704467470541656,0.662647963024017,0.746286978059295,0.092619197964943,0.0753025302206914,0.109935865709195,-0.239575760427907,-0.257161550355266,-0.221989970500548,-0.0704156485192725,-0.081380855007186,-0.0594504420313589
"CWW",3,"LD-LR",2.5221280770543,2.40669597515469,2.63756017895391,0.145881297787709,0.113750137896409,0.178012457679009,0.62791345399639,0.566344106870223,0.689482801122557,0.145881297787709,0.113750137896409,0.178012457679009,-1.10757718564354,-1.18688889865941,-1.02826547262767,-0.412169387510106,-0.456116758237747,-0.368222016782464
